,0
0,Arizona
1,Georgia
2,Hawaii
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Mexico
21,Ohio
22,Oklahoma
23,Oregon
24,Rhode Island
25,Vermont
26,Virginia
27,Washington
28,West Virginia
29,Wisconsin
